Recommendation ID,Recommendation Category,Implementation Group,"Aggregate Risk Level (Network Exposure, Data Level, RTO, Audience)",Recommendation Description,"Policy Defined - From No Policy, to Informal Policy to Fully Approved Policy","Control Implemented - From not implemented, to somewhat implemented, to fully implemented","Control Automated - From not automated, to partially automated, to fully automated","Control Reported - From not reported on, to partially reported on, to fully reported on",Assigned To,Validation Date,Notes/Evidence,CIS v8 Safeguards,NIST CSF Subcategories,Details
AI-GOV-16,Layer 0: Governance & System Controls,IG 2,2-Medium,"Establish AI-specific change management and evaluation gates requiring regression testing, approvals, and rollback plans for updates to models, prompts, agent tools, or RAG datasets.",0,0,0,0,,,,"2.1, 16.6, 16.7","PR.IP, GV.SC","Detailed Description:
Establish specialized AI change management workflows and evaluation gates for updates to any component of an AI system. This means that modifications to model versions, prompt templates, agent tools/plugins, or the Retrieval-Augmented Generation (RAG) corpus must go through formal change control, requiring automated regression tests (checking for jailbreaks, data leakage, and tool abuse), explicit approvals, and tested rollback plans before reaching production.

Why AI Compounds Risk:
Unlike traditional software where behavior is strictly governed by static code, AI systems are non-deterministic. Their behavior can drastically change simply by altering a system prompt, adding a new document to the RAG knowledge base, or pointing the application to an updated LLM version. Standard CI/CD change management often misses these non-code updates. Without AI-specific evaluation gates, a seemingly harmless prompt tweak or data upload can silently introduce massive vulnerabilities, such as bypassing safety filters or exposing restricted data to autonomous agents.

Examples:
1. Integrate AI-specific regression testing tools (e.g., prompt vulnerability scanners, LLM evaluation frameworks) into the CI/CD pipeline to automatically test for jailbreak regressions and prompt injection susceptibility before any prompt template change is deployed.
2. Require formal Change Advisory Board (CAB) or security team approval for the introduction of new agentic tools/plugins, treating them with the same rigor as deploying a new firewall rule or external API integration.
3. Establish a version control and rollback strategy for RAG knowledge bases, ensuring that if a newly ingested document causes an AI chatbot to leak sensitive information or hallucinate, the system can instantly revert to the previous verified state."
AI-GOV-12,Layer 0: Governance & System Controls,IG 3,2-Medium,Deploy targeted deepfake and synthetic media detection tooling for high-risk workflows (rather than an org-wide mandate),0,0,0,0,,,,"14.1, 17.1","PR.AT, RS.MA","Detailed Description:
Implement deepfake and synthetic media detection tooling for targeted, high-risk workflows (e.g., executive communications, high-value financial transfers, and high-privilege helpdesk requests). *Maturity Note:* This is designed as a targeted, localized control rather than an organization-wide mandate; a mature organization focuses this tooling specifically where synthetic media poses the highest fraud or reputational risk.

Why AI Compounds Risk:
Generative AI allows threat actors to clone voices (audio deepfakes) with just a few seconds of sample audio, and generate highly convincing synthetic video of key personnel. This technology is actively used to bypass helpdesk voice verification, authorize fraudulent wire transfers (Business Email Compromise via voice/video), and fabricate executive statements for extortion or market manipulation. Because humans can no longer reliably distinguish high-quality deepfakes from reality, specialized technical detection is required for critical validation checkpoints.

Examples:
1. Deploy specialized deepfake and liveness detection software for the IT helpdesk to use when verifying identity for high-privilege account resets or MFA bypass requests.
2. Integrate third-party deepfake analysis APIs into the financial approval workflow to automatically scan voicemail, recorded requests, or teleconferencing streams for synthetic artifacts before processing high-value wire transfers.
3. Establish an incident response playbook that includes access to a specialized digital forensics service or a commercial deepfake-detection platform, enabling PR and Legal teams to rapidly verify the authenticity of suspicious media during a brand crisis."
AI-GOV-13,Layer 0: Governance & System Controls,IG 3,2-Medium,Conduct Continuous Red Teaming against AI defenses,0,0,0,0,,,,"15.1, 17.1","GV.PO, GV.OV","Detailed Description:
Continuous red teaming against AI involves an ongoing, automated process of simulating real-world adversarial attacks to identify vulnerabilities in AI models, applications, and their surrounding infrastructure. Unlike traditional time-bound assessments, this approach provides real-time validation of security controls and adapts to the evolving tactics of attackers, such as prompt injection, data poisoning, and model evasion.

Why AI Compounds Risk:
AI exacerbates security risks because its non-deterministic nature creates an infinite landscape of natural language attack vectors that static defenses cannot anticipate. The rapid evolution of AI models and their integration into agentic systems with execution authority—such as making database queries or tool calls—means that a single successful manipulation can lead to immediate operational or financial harm.

Examples:
1. Integrate automated red teaming platforms into the CI/CD pipeline to trigger adversarial simulations every time a model is updated or a new software version is deployed, catching regressions before they reach production.
2. Deploy specialized autonomous agents that continuously probe internal AI chatbots and virtual assistants for sensitive data leakage by attempting multi-turn ""crescendo"" attacks and credential extraction.
3. Establish a dedicated internal ""Purple Team"" that uses industry-standard threat frameworks to map automated testing results against known adversary behaviors, ensuring that human-led creative testing complements automated scanners to identify complex logic flaws."
AI-GOV-14,Layer 0: Governance & System Controls,IG 3,3-Low,"Implement Cryptographic Provenance (e.g., C2PA standards) for all official university executive media to establish verifiable digital trust.",0,0,0,0,,,,"14.1, 17.1","PR.AT, RS.MA","Detailed Description:
This recommendation involves attaching a tamper-evident, cryptographically signed digital record called a C2PA Manifest to media files like photos and videos. This manifest acts as a digital nutrition label that records the content's origin, the tools used for creation, and any subsequent edits, allowing anyone to verify the asset's history and authenticity.

Why AI Compounds Risk:
AI exacerbates the risk of misinformation because generative AI can create hyper-realistic deepfakes and synthetic media that are visually indistinguishable from authentic content. This erosion of trust makes it difficult for audiences to discern reality from manipulation, leading to potential harm, fraud, and the degradation of public discourse.

Examples:
1. Integration with creative workflows by using C2PA-enabled professional creative software or AI media generation services to automatically embed provenance data into assets during the production and export process.
2. Deployment of hardware-based trust by equipping executive communication teams with C2PA-compliant cameras and smartphones that sign and hash media at the point of capture.
3. Implementation of secure verification portals or browser extensions that allow stakeholders and the public to inspect the Content Credentials of official university media to confirm it has not been tampered with."
AI-GOV-15,Layer 0: Governance & System Controls,IG 3,3-Low,Deploy AI-Driven Behavioral Analytics (UEBA) for baseline anomaly detection,0,0,0,0,,,,"13.2, 13.5","DE.AS, DE.CM","Detailed Description:
Deployment of AI-Driven Behavioral Analytics (UEBA) involves using machine learning algorithms to establish a baseline of normal activity for users, devices, and applications within a network. By continuously monitoring and comparing real-time actions against these established profiles, the system identifies subtle deviations—such as unusual login times, atypical data access, or spikes in file transfers—that may indicate insider threats, compromised accounts, or lateral movement.

Why AI Compounds Risk:
AI exacerbates cybersecurity risk because it allows attackers to automate and scale threats, such as generating highly personalized phishing emails, creating realistic deepfakes for social engineering, and developing malware that evolves to evade traditional signature-based detection.

Examples:
1. Integrate UEBA with existing Security Information and Event Management (SIEM) infrastructure to correlate behavior data with system logs and prioritize high-risk alerts.
2. Configure risk-based conditional access that automatically triggers multi-factor authentication (MFA) or restricts system access when a user's behavior deviates significantly from their established baseline.
3. Implement automated monitoring for privileged accounts to detect unauthorized privilege escalation or sensitive data access by administrators and power users."
AI-DET-01,Layer 0: Governance & System Controls (Detection & Response),IG 2,1-High,"Implement AI-specific detections and SOAR playbooks (prompt injection, agent/tool abuse, data exfil via AI, connector compromise)",0,0,0,0,,,,"13.1, 13.2","DE.AE, RS.MI","Detailed Description:
Develop and deploy specialized detection rules within your SIEM/XDR and automated playbooks within your SOAR platform that are specifically tuned for AI-related threat vectors. This includes continuous monitoring and automated response mechanisms for LLM prompt injections, autonomous agent/tool abuse, data exfiltration through AI APIs, and the compromise of third-party AI connectors.

Minimum Telemetry Sources for AI Detections:
- LLM application gateway logs (or CASB/Proxy logs for external SaaS models)
- OAuth app governance and consent logs
- Identity Provider (IdP) risk and anomaly events
- EDR and DLP telemetry
- DNS and Secure Web Gateway (SWG) logs

Containment Primitives (SOAR Playbook Actions):
To operationalize the response, playbooks should be built around reusable containment primitives:
- Revoke compromised tokens
- Disable rogue or vulnerable OAuth applications
- Block destination categories or malicious domains
- Quarantine phishing or malicious mailbox messages
- Disable specific non-human/agent identities
- Rotate exposed secrets
- Isolate affected endpoints

Why AI Compounds Risk:
Traditional detection rules are designed for standard malware, lateral movement, or SQL injections; they fail to recognize the unique signatures of AI-centric attacks, such as semantic manipulation (prompt injection) or an autonomous agent chaining together authorized API calls in an unauthorized manner. Without AI-specific detections and machine-speed SOAR playbooks, an attacker can hijack an LLM or AI agent to extract sensitive data or pivot into internal networks long before a human analyst identifies the anomalous pattern.

Examples:
1. Ingest AI application gateway logs into the SIEM and write correlation rules to detect high-volume, repetitive, or anomalous prompt structures indicative of a prompt injection or jailbreak attempt.
2. Create a SOAR playbook that automatically isolates an AI agent or revokes its API keys if it begins exhibiting ""tool-use drift"" (e.g., calling a database query tool it rarely uses or attempting an excessive number of unapproved external web connections).
3. Monitor network egress for sudden spikes in data transfer to known public AI endpoints (e.g., OpenAI, Anthropic APIs) and trigger an automated SOAR response to block the connection and alert the security team of potential AI-driven data exfiltration."
AI-USR-01,Layer 0: User Facing Controls,IG 1,1-High,Enable Automated 'First Contact' Safety Tips to warn users when interacting with new or anomalous external senders often used by AI phishing bots.,0,0,0,0,,,,"9.1, 9.2",PR.IR,"Detailed Description:
First-contact safety tips are automated visual alerts that appear in an email client when a user receives a message from a sender they do not regularly communicate with or who appears anomalous. These tips serve as a ""speed bump,"" prompting users to verify the identity of the sender and the legitimacy of the content before clicking links or downloading attachments.

Why AI Compounds Risk:
AI exacerbates this risk by enabling attackers to generate highly personalized, grammatically perfect, and contextually relevant phishing emails at scale. These AI-generated messages can mimic a specific professional tone or reference real-world business transactions, making it significantly harder for traditional filters and human observation to detect spoofing or social engineering.

Examples:
1. Enable impersonation protection and mailbox intelligence within the enterprise email security platform to automatically flag external senders with display names similar to internal executives.
2. Configure mail flow rules in the email admin center to prepend a warning banner to any email originating from a domain that has not previously exchanged mail with the organization.
3. Deploy a third-party email security gateway that uses machine learning to analyze communication patterns and inject real-time ""untrusted sender"" warnings into the body of suspicious external messages."
AI-USR-02,Layer 0: User Facing Controls,IG 1,1-High,Enforce Targeted Impersonation Protection for High-Value Targets (VIPs) to detect subtle visual or character-based spoofing of key personnel names.,0,0,0,0,,,,"9.1, 9.2",PR.IR,"Detailed Description:
Targeted Impersonation Protection for High-Value Targets (VIPs) is a specialized security layer designed to protect executives and key personnel from sophisticated phishing attacks. It uses advanced detection algorithms to identify subtle visual or character-based spoofing, such as ""lookalike"" domains or ""homoglyphs"" where characters from different alphabets are used to mimic legitimate names and email addresses.

Why AI Compounds Risk:
AI exacerbates this risk by enabling attackers to automate the creation of highly convincing, personalized, and error-free impersonation attempts at scale. Generative AI can mimic the specific writing style, tone, and professional vocabulary of a VIP, making it nearly impossible for traditional filters or human observation to detect the fraud based on language alone.

Examples:
1. Configure ""Executive Protection"" policies in email security gateways (like a secure email gateway or an enterprise endpoint protection platform) by inputting the specific display names of VIPs and setting the system to flag any external emails that use those names or slight variations of them.
2. Implement advanced domain monitoring services that use behavioral AI to scan for the registration of lookalike domains (e.g., using a ""0"" instead of an ""o"") and automatically block or quarantine communications from these unauthorized sources.
3. Deploy mailbox intelligence and anti-phishing safety tips that provide real-time visual warnings to employees when an email address includes unexpected characters or appears similar to a known internal contact but originates from an external sender."
AI-USR-03,Layer 0: User Facing Controls,IG 1,2-Medium,"Advanced AI Phishing Simulations: Update Security Awareness Training to include simulations specifically mimicking high-quality, multilingual LLM-generated phishing models.",0,0,0,0,,,,"14.1, 14.2",PR.AT,"Detailed Description:
This recommendation involves updating security awareness programs to use AI-generated phishing simulations that mimic the high-quality, multilingual, and personalized attacks created by large language models (LLMs).

Why AI Compounds Risk:
AI exacerbates phishing risks by enabling attackers to automate the creation of highly convincing, error-free messages at scale, bypassing traditional red flags like poor grammar while tailoring content to specific roles, industries, and languages.

Examples:
1. Deploy role-specific spear-phishing simulations that use AI to gather employee context, such as job titles and common tools, to generate realistic internal or vendor-related lures.
2. Integrate multilingual simulations into global training programs to test employees in their native languages using AI-cloned voices or translated text that maintains natural tone and nuance.
3. Use AI-driven platforms to provide automated remediation training, where employees who fail a simulation are immediately assigned personalized learning modules based on the specific type of attack they encountered."
AI-USR-04,Layer 0: User Facing Controls,IG 1,3-Low,"Implement Executive Challenge-Response Protocols (e.g., pre-established safe words) for urgent voice/video requests.",0,0,0,0,,,,"14.1, 17.1","PR.AT, RS.MA","Detailed Description:
Executive challenge-response protocols are manual authentication methods where an individual verifies the identity of a caller or video participant by issuing a specific challenge that requires a pre-agreed, secret response, such as a safe word or a unique piece of personal information known only to the involved parties.

Why AI Compounds Risk:
AI significantly exacerbates impersonation risks through deepfake technology, which allows attackers to convincingly clone an executive's voice or likeness in real-time, making traditional visual and auditory cues unreliable for verifying identity during urgent or sensitive requests.

Examples:
1. Establish a rotating system of weekly or daily ""code phrases"" shared through secure, out-of-band channels that executives must use to authorize high-value financial transactions or sensitive data transfers.
2. Implement ""liveness challenges"" during video calls where employees ask the executive to perform unpredictable physical actions, such as turning their head fully to the side or waving a hand in front of their face, to disrupt AI-generated overlays.
3. Create a formal ""Human Firewall"" policy that mandates an out-of-band callback to a pre-validated secondary phone number whenever an executive makes an unusual or high-pressure request via voice or video."
AI-USR-05,Layer 0: User Facing Controls,IG 1,3-Low,"Conduct Deepfake-Specific Awareness Training focusing on 'liveness' checks (e.g., asking callers to turn their head) and audio/visual artifact detection.",0,0,0,0,,,,"14.1, 17.1","PR.AT, RS.MA","Detailed Description:
This training educates employees to identify synthetic media by looking for technical inconsistencies known as artifacts, such as mismatched lip movements, unusual lighting, or monotone voices. It also emphasizes active verification through liveness checks, which require the suspected caller to perform real-time physical actions like turning their head to break the AI's rendering of their digital likeness.

Why AI Compounds Risk:
AI exacerbates this risk by enabling the mass production of hyper-realistic, low-cost voice and video clones that exploit human trust and psychological pressure, making it difficult for employees to distinguish between genuine and fabricated requests during routine business operations.

Examples:
1. Integrate deepfake scenarios, such as fake voicemails or video calls from leadership, into existing quarterly security awareness training and phishing simulations to build repeatable verification habits.
2. Prioritize role-specific training for high-risk departments like Finance and HR, teaching them to pause and verify sensitive requests through a secondary, trusted communication channel before taking action.
3. Conduct tabletop exercises with legal, PR, and IT teams to rehearse a documented deepfake response plan, ensuring all stakeholders know their specific roles and communication protocols during an active impersonation attempt."
AI-USR-06,Layer 0: User Facing Controls,IG 1,3-Low,Train staff on Reverse-Turing Tests to detect AI bots in chat/email,0,0,0,0,,,,"14.1, 14.2",PR.AT,"Detailed Description:
Training staff on Reverse-Turing Tests involves teaching employees how to intentionally mimic machine-like behavior or use specific interrogation techniques to provoke a non-human response from a chat or email participant. The goal is to identify whether the correspondent is a human or an automated AI bot by observing if the entity can handle complex, emotional, or highly contextual nuances that typically trip up artificial intelligence.

Why AI Compounds Risk:
AI exacerbates this risk by enabling the creation of highly sophisticated, evasive bots that can convincingly mimic human conversation, syntax, and tone at an industrial scale. Generative AI lowers the barrier for attackers to launch personalized phishing or social engineering attacks that are increasingly difficult for traditional security filters or untrained humans to detect.

Examples:
1. Conduct role-play simulations where employees must interact with known AI bots and attempt to ""break"" the bot's logic using non-sequiturs, complex emotional queries, or requests for meta-communication about the conversation itself.
2. Educate staff to look for ""machine-like"" consistency or lack of situational awareness, such as an entity providing perfect, immediate responses to complex data requests while failing to understand simple, culturally specific jokes or idiomatic expressions.
3. Implement ""Human Verification"" drills in standard communication workflows, where staff are trained to occasionally insert specific ""logic traps"" or context-heavy questions into suspicious email threads to see if the recipient responds with the rigid, pattern-based logic characteristic of an LLM."
AI-USR-07,Layer 0: User Facing Controls,IG 1,3-Low,Deploy an Automated Incident Reporting Button to instantly quarantine suspected AI phishing,0,0,0,0,,,,6.1,PR.AA,"Detailed Description:
This recommendation involves deploying a one-click reporting tool within email clients that allows employees to instantly flag suspicious messages, triggering an automated workflow to quarantine the email and prevent further interaction. By integrating with Security Orchestration, Automation, and Response (SOAR) platforms, the system can automatically extract indicators of compromise (IOCs), analyze URLs and attachments in sandboxes, and retract the malicious email from all other company inboxes within minutes.

Why AI Compounds Risk:
AI exacerbates phishing risks by enabling attackers to create highly personalized, linguistically perfect, and contextually aware messages at scale, effectively eliminating traditional red flags like poor grammar. Furthermore, generative AI allows for multi-channel deception—including voice cloning and deepfake video—making it significantly harder for even trained employees to distinguish fraudulent communications from legitimate executive or colleague requests.

Examples:
1. Enable the built-in email reporting button and configure it to route submissions to a dedicated security mailbox monitored by an automated triage pipeline.
2. Deploy a third-party solution like a phishing alert button across standard email clients to provide users with a consistent interface for reporting and immediate removal of the threat from their local inbox.
3. Integrate the reporting button with a SOAR platform to automate response actions, such as blocking sender domains and auto-retracting confirmed phishing emails from the entire organization's email environment."
